Crop,Lettuce,Lettuce,Lettuce,Lettuce,Lettuce
FOB,140,Pickup,Off-island,Off-island,140
Mode,Truck,,Air,Barge,Truck
Hold,6h,6h,6h,6h,48h
Start Day,"0, 3","0, 3","0, 3","0, 3","0, 3"
Pack/Store 1,Sun 10:00-14:00,Sun 14:00-18:00,Sun 14:00-18:00,Sun 14:00-18:00,Sun 10:00-14:00
Pack/Store 2,,,Mon 10:00-18:00,Mon 10:00-18:00,
BOL,Sun 18:00-18:30,Sun 18:00-18:30,Mon 18:00-18:30,Mon 18:00-18:30,Sun 18:00-18:30
Load,,,,Mon 18:30-19:00,
Drayage,,,Tue 07:00-11:00,Tue 07:00-08:00,
Transport,,,Tue 11:00-15:00,Tue 18:00-Wed 12:00,
Retrieve,,,Tue 16:00-17:00,Thu 08:00-10:00,
Customer,Mon 07:00-08:30,Mon 13:00-13:30,Wed 05:00-10:00,Fri 06:00-10:00,Thu 07:00-08:30
